,B,I,,,,
,-32.9304,11.906,,,,
,-32.90598,11.81528,,,,
,-32.88156,11.73309,,,,
,-32.85714,11.58979,,,,
,-32.83272,11.41618,,,,
,-32.8083,11.23522,,,,
,-32.78388,11.09628,,,,
,-32.75946,11.08085,,,,
,-32.73504,11.11214,,,,
,-32.71062,11.18978,,,,
,-32.6862,11.32205,,,,
,-32.66178,11.52306,,,,
,-32.63736,11.72302,,,,
,-32.61294,11.89583,,,,
,-32.58852,12.05469,,,,
,-32.5641,12.1879,,,,
,-32.53968,12.29558,,,,
,-32.51526,12.36073,,,,
,-32.49084,12.40861,,,,
,-32.46642,12.40145,,,,
,-32.442,12.37787,,,,
,-32.41758,12.38431,,,,
,-32.39316,12.41496,,,,
,-32.36874,12.4728,,,,
,-32.34432,12.56213,,,,
,-32.3199,12.71271,,,,
,-32.29548,12.90308,,,,
,-32.27106,13.09359,,,,
,-32.24664,13.28535,,,,
,-32.22222,13.50707,,,,
,-32.1978,13.715,,,,
,-32.17338,13.92082,,,,
,-32.14896,14.14738,,,,
,-32.12454,14.41785,,,,
,-32.10012,14.71063,,,,
,-32.0757,14.98821,,,,
,-32.05128,15.27105,,,,
,-32.02686,15.50376,,,,
,-32.00244,15.73703,,,,
,-31.97802,15.98236,,,,
,-31.9536,16.16523,,,,
,-31.92918,16.27863,,,,
,-31.90476,16.37486,,,,
,-31.88034,16.51661,,,,
,-31.85592,16.66142,,,,
,-31.8315,16.78911,,,,
,-31.80708,16.87572,,,,
,-31.78266,16.93517,,,,
,-31.75824,16.9282,,,,
,-31.73382,16.82717,,,,
,-31.7094,16.68406,,,,
,-31.68498,16.5162,,,,
,-31.66056,16.33159,,,,
,-31.63614,16.19194,,,,
,-31.61172,16.12865,,,,
,-31.5873,16.04553,,,,
,-31.56288,15.88165,,,,
,-31.53846,15.69694,,,,
,-31.51404,15.47318,,,,
,-31.48962,15.23503,,,,
,-31.4652,14.97403,,,,
,-31.44078,14.70702,,,,
,-31.41636,14.45338,,,,
,-31.39194,14.24906,,,,
,-31.36752,14.13991,,,,
,-31.3431,14.11168,,,,
,-31.31868,14.10714,,,,
,-31.29426,14.13532,,,,
,-31.26984,14.19874,,,,
,-31.24542,14.30748,,,,
,-31.221,14.40458,,,,
,-31.19658,14.43134,,,,
,-31.17216,14.40281,,,,
,-31.14774,14.38758,,,,
,-31.12332,14.34776,,,,
,-31.0989,14.32621,,,,
,-31.07448,14.36719,,,,
,-31.05006,14.50401,,,,
,-31.02564,14.67037,,,,
,-31.00122,14.76476,,,,
,-30.9768,14.85849,,,,
,-30.95238,14.98311,,,,
,-30.92796,15.10908,,,,
,-30.90354,15.24731,,,,
,-30.87912,15.42415,,,,
,-30.8547,15.61343,,,,
,-30.83028,15.81394,,,,
,-30.80586,16.03765,,,,
,-30.78144,16.27385,,,,
,-30.75702,16.54925,,,,
,-30.7326,16.8524,,,,
,-30.70818,17.13749,,,,
,-30.68376,17.43569,,,,
,-30.65934,17.71306,,,,
,-30.63492,17.98222,,,,
,-30.6105,18.2527,,,,
,-30.58608,18.49686,,,,
,-30.56166,18.70012,,,,
,-30.53724,18.83813,,,,
,-30.51282,18.97682,,,,
,-30.4884,19.17884,,,,
,-30.46398,19.42609,,,,
,-30.43956,19.67244,,,,
,-30.41514,19.90398,,,,
,-30.39072,20.1402,,,,
,-30.3663,20.36622,,,,
,-30.34188,20.59287,,,,
,-30.31746,20.80925,,,,
,-30.29304,21.03475,,,,
,-30.26862,21.266,,,,
,-30.2442,21.4853,,,,
,-30.21978,21.6317,,,,
,-30.19536,21.74713,,,,
,-30.17094,21.86196,,,,
,-30.14652,21.92538,,,,
,-30.1221,21.97488,,,,
,-30.09768,22.05499,,,,
,-30.07326,22.13542,,,,
,-30.04884,22.24582,,,,
,-30.02442,22.40356,,,,
,-30,22.54937,,,,
,-29.97558,22.72369,,,,
,-29.95116,22.95847,,,,
,-29.92674,23.16358,,,,
,-29.90232,23.31039,,,,
,-29.8779,23.37243,,,,
,-29.85348,23.29438,,,,
,-29.82906,23.08557,,,,
,-29.80464,22.81836,,,,
,-29.78022,22.47533,,,,
,-29.7558,22.0731,,,,
,-29.73138,21.67006,,,,
,-29.70696,21.36127,,,,
,-29.68254,21.07981,,,,
,-29.65812,20.81343,,,,
,-29.6337,20.57416,,,,
,-29.60928,20.3237,,,,
,-29.58486,20.07972,,,,
,-29.56044,19.85198,,,,
,-29.53602,19.6114,,,,
,-29.5116,19.37204,,,,
,-29.48718,19.14761,,,,
,-29.46276,19.00402,,,,
,-29.43834,18.87911,,,,
,-29.41392,18.69874,,,,
,-29.3895,18.56579,,,,
,-29.36508,18.39088,,,,
,-29.34066,18.20799,,,,
,-29.31624,18.06218,,,,
,-29.29182,17.91446,,,,
,-29.2674,17.75513,,,,
,-29.24298,17.52585,,,,
,-29.21856,17.30563,,,,
,-29.19414,17.10448,,,,
,-29.16972,16.95592,,,,
,-29.1453,16.85503,,,,
,-29.12088,16.74555,,,,
,-29.09646,16.63837,,,,
,-29.07204,16.53057,,,,
,-29.04762,16.44379,,,,
,-29.0232,16.49574,,,,
,-28.99878,16.56307,,,,
,-28.97436,16.58827,,,,
,-28.94994,16.61543,,,,
,-28.92552,16.67047,,,,
,-28.9011,16.76408,,,,
,-28.87668,16.86129,,,,
,-28.85226,16.90222,,,,
